0	401.25	other
401.25	585.25	music
585.25	715.25	other
715.25	895.25	music
895.25	920.25	other
920.25	950.75	music
950.75	954.25	other
954.25	955.25	music
955.25	960.25	other
960.25	1080.25	music
1080.25	1115.25	other
1115.25	1295.25	music
1295.25	1299.25	other
1299.25	1300.25	music
1300.25	1303.25	other
1303.25	1315.25	music
1315.25	1468.25	other
1468.25	1469.25	music
1469.25	1470.25	other
1470.25	1610.25	music
1610.25	1620.25	other
1620.25	1870.25	music
1870.25	2071.75	other
2071.75	2072.4569874999997	other
